1, 125760, Tempo, 303030
1, 126000, Tempo, 281690
1, 126180, Tempo, 333333
1, 126240, Tempo, 303030
1, 126480, Tempo, 281690
1, 126720, Tempo, 303030
1, 126960, Tempo, 281690
1, 127140, Tempo, 333333
1, 127200, Tempo, 303030
1, 127440, Tempo, 281690
1, 127620, Tempo, 333333
1, 127680, Tempo, 303030
1, 127920, Tempo, 281690
1, 128100, Tempo, 333333
1, 128160, Tempo, 303030
1, 129120, Tempo, 326087
1, 130080, Tempo, 336134
1, 130560, Tempo, 307692
1, 131040, Tempo, 310881
1, 131520, Tempo, 313316
1, 131940, Tempo, 352941
1, 132000, Tempo, 323450
1, 132240, Tempo, 291971
1, 132480, Tempo, 303030
1, 132720, Tempo, 281690
1, 132960, Tempo, 303030
1, 133200, Tempo, 281690
1, 133440, Tempo, 303030
1, 133680, Tempo, 281690
1, 133920, Tempo, 303030
1, 134160, Tempo, 281690
1, 134400, Tempo, 303030
1, 134640, Tempo, 281690
1, 134880, Tempo, 303030
1, 135120, Tempo, 281690
1, 135360, Tempo, 303030
1, 135600, Tempo, 281690
1, 135840, Tempo, 303030
1, 136080, Tempo, 281690
1, 136320, Tempo, 303030
1, 136560, Tempo, 281690
1, 136800, Tempo, 303030
1, 137040, Tempo, 281690
1, 137280, Tempo, 303030
1, 137520, Tempo, 281690
1, 137760, Tempo, 303030
1, 138000, Tempo, 281690
1, 138240, Tempo, 303030
1, 138480, Tempo, 281690
1, 138720, Tempo, 303030
1, 138960, Tempo, 281690
1, 139200, Tempo, 303030
1, 139440, Tempo, 281690
1, 139680, Tempo, 303030
1, 139920, Tempo, 281690
1, 140160, Tempo, 303030
1, 140400, Tempo, 281690
1, 140640, Tempo, 303030
1, 140880, Tempo, 281690
1, 141120, Tempo, 303030
1, 141360, Tempo, 281690
1, 141600, Tempo, 302267
1, 141840, Tempo, 281690
1, 142080, Tempo, 303030
1, 142320, Tempo, 281690
1, 142560, Tempo, 303030
1, 142800, Tempo, 281690
1, 143040, Tempo, 303030
1, 143280, Tempo, 281690
1, 143520, Tempo, 303030
1, 143760, Tempo, 281690
